Movie,Actors,Director,Writer,Year,Language,Country,Genre
The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,"Stephen King, Frank Darabont",1994,English,United States,Drama
The Godfather,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",1972,"English, Italian, Latin",United States,"Crime, Drama"
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",2008,"English, Mandarin","United States, United Kingdom","Action, Crime, Drama"
Pulp Fiction,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,"Quentin Tarantino, Roger Avary",1994,"English, Spanish, French",United States,"Crime, Drama"
Batman Begins,"Christian Bale, Michael Caine, Ken Watanabe",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan",2005,"English, Mandarin","United States, United Kingdom","Action, Crime, Drama"
Forrest Gump,"Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,"Winston Groom, Eric Roth",1994,English,United States,"Drama, Romance"
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Christopher Nolan,Christopher Nolan,2010,"English, Japanese, French","United States, United Kingdom","Action, Adventure, Sci-Fi"
The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",1999,English,"United States, Australia","Action, Sci-Fi"
Goodfellas,"Robert De Niro, Ray Liotta, Joe Pesci",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",1990,"English, Italian",United States,"Biography, Crime, Drama"
The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",Jonathan Demme,"Thomas Harris, Ted Tally",1991,"English, Latin",United States,"Crime, Drama, Thriller"
The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Orlando Bloom",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2001,"English, Sindarin","New Zealand, United States","Action, Adventure, Drama"
Star Wars: Episode IV - A New Hope,"Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas,George Lucas,1977,English,United States,"Action, Adventure, Fantasy"
The Lord of the Rings: The Return of the King,"Elijah Wood, Viggo Mortensen, Ian McKellen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2003,"English, Quenya, Old English, Sindarin","New Zealand, United States","Action, Adventure, Drama"
The Lord of the Rings: The Two Towers,"Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",2002,"English, Sindarin, Old English","New Zealand, United States","Action, Adventure, Drama"
Se7en,"Morgan Freeman, Brad Pitt, Kevin Spacey",David Fincher,Andrew Kevin Walker,1995,English,United States,"Crime, Drama, Mystery"
The Usual Suspects,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",Bryan Singer,Christopher McQuarrie,1995,"English, Hungarian, Spanish, French","United States, Germany","Crime, Drama, Mystery"
Saving Private Ryan,"Tom Hanks, Matt Damon, Tom Sizemore",Steven Spielberg,Robert Rodat,1998,"English, French, German, Czech",United States,"Drama, War"
Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",Christopher Nolan,"Jonathan Nolan, Christopher Nolan",2014,English,"United States, United Kingdom, Canada","Adventure, Drama, Sci-Fi"
Gladiator,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott,"David Franzoni, John Logan, William Nicholson",2000,English,"United States, United Kingdom, Malta, Morocco","Action, Adventure, Drama"
The Prestige,"Christian Bale, Hugh Jackman, Scarlett Johansson",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest",2006,English,"United Kingdom, United States","Drama, Mystery, Sci-Fi"
Fight Club,"Brad Pitt, Edward Norton, Meat Loaf",David Fincher,"Chuck Palahniuk, Jim Uhls",1999,English,"Germany, United States",Drama
The Lion King,"Matthew Broderick, Jeremy Irons, James Earl Jones","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton",1994,"English, Swahili, Xhosa, Zulu",United States,"Animation, Adventure, Drama"
Jurassic Park,"Sam Neill, Laura Dern, Jeff Goldblum",Steven Spielberg,"Michael Crichton, David Koepp",1993,"English, Spanish",United States,"Action, Adventure, Sci-Fi"
Terminator 2: Judgment Day,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",James Cameron,"James Cameron, William Wisher",1991,"English, Spanish",United States,"Action, Sci-Fi"
Back to the Future,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Robert Zemeckis,"Robert Zemeckis, Bob Gale",1985,English,United States,"Adventure, Comedy, Sci-Fi"
The Terminator,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",James Cameron,"James Cameron, Gale Anne Hurd, William Wisher",1984,"English, Spanish","United Kingdom, United States","Action, Sci-Fi"
Alien,"Sigourney Weaver, Tom Skerritt, John Hurt",Ridley Scott,"Dan O'Bannon, Ronald Shusett",1979,English,"United Kingdom, United States","Horror, Sci-Fi"
Aliens,"Sigourney Weaver, Michael Biehn, Carrie Henn",James Cameron,"James Cameron, David Giler, Walter Hill",1986,"English, Spanish","United Kingdom, United States","Action, Adventure, Sci-Fi"
Die Hard,"Bruce Willis, Alan Rickman, Bonnie Bedelia",John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza",1988,"English, German, Italian, Japanese",United States,"Action, Thriller"
The Exorcist,"Ellen Burstyn, Max von Sydow, Linda Blair",William Friedkin,William Peter Blatty,1973,"English, Latin, Greek, French, German, Arabic, Kurdish",United States,Horror
Jaws,"Roy Scheider, Robert Shaw, Richard Dreyfuss",Steven Spielberg,"Peter Benchley, Carl Gottlieb",1975,English,United States,"Adventure, Thriller"
Psycho,"Anthony Perkins, Janet Leigh, Vera Miles",Alfred Hitchcock,"Joseph Stefano, Robert Bloch",1960,English,United States,"Horror, Mystery, Thriller"
E.T. the Extra-Terrestrial,"Henry Thomas, Drew Barrymore, Peter Coyote",Steven Spielberg,Melissa Mathison,1982,English,United States,"Adventure, Family, Sci-Fi"
Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick",1982,"English, German, Cantonese, Japanese, Hungarian, Arabic, Korean",United States,"Action, Drama, Sci-Fi"
The Shining,"Jack Nicholson, Shelley Duvall, Danny Lloyd",Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson",1980,English,"United Kingdom, United States","Drama, Horror"
Apocalypse Now,"Martin Sheen, Marlon Brando, Robert Duvall",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",1979,"English, French, Vietnamese",United States,"Drama, Mystery, War"
The Bridge on the River Kwai,"William Holden, Alec Guinness, Jack Hawkins",David Lean,"Pierre Boulle, Carl Foreman, Michael Wilson",1957,"English, Japanese, Thai","United Kingdom, United States","Adventure, Drama, War"
Lawrence of Arabia,"Peter O'Toole, Alec Guinness, Anthony Quinn",David Lean,"Robert Bolt, Michael Wilson",1962,"English, Arabic, Turkish",United Kingdom,"Adventure, Biography, Drama"
One Flew Over the Cuckoo's Nest,"Jack Nicholson, Louise Fletcher, Michael Berryman",Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey",1975,English,United States,Drama
Chinatown,"Jack Nicholson, Faye Dunaway, John Huston",Roman Polanski,"Robert Towne, Roman Polanski",1974,"English, Cantonese, Spanish",United States,"Drama, Mystery, Thriller"
The French Connection,"Gene Hackman, Roy Scheider, Fernando Rey",William Friedkin,"Ernest Tidyman, Robin Moore",1971,"English, French",United States,"Action, Crime, Drama"
Rocky,"Sylvester Stallone, Talia Shire, Burt Young",John G. Avildsen,Sylvester Stallone,1976,English,United States,"Drama, Sport"
Taxi Driver,"Robert De Niro, Jodie Foster, Cybill Shepherd",Martin Scorsese,Paul Schrader,1976,"English, Spanish",United States,"Crime, Drama"
Raging Bull,"Robert De Niro, Cathy Moriarty, Joe Pesci",Martin Scorsese,"Jake LaMotta, Joseph Carter, Peter Savage",1980,English,United States,"Biography, Drama, Sport"
Rain Man,"Dustin Hoffman, Tom Cruise, Valeria Golino",Barry Levinson,"Barry Morrow, Ron Bass",1988,"English, Italian",United States,Drama
A Beautiful Mind,"Russell Crowe, Ed Harris, Jennifer Connelly",Ron Howard,"Akiva Goldsman, Sylvia Nasar",2001,English,United States,"Biography, Drama"
Schindler's List,"Liam Neeson, Ralph Fiennes, Ben Kingsley",Steven Spielberg,"Thomas Keneally, Steven Zaillian",1993,"English, Hebrew, German, Polish, Latin",United States,"Biography, Drama, History"
Forrest Gump,"Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,"Winston Groom, Eric Roth",1994,English,United States,"Drama, Romance"
American Beauty,"Kevin Spacey, Annette Bening, Thora Birch",Sam Mendes,Alan Ball,1999,English,United States,Drama
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",Martin Scorsese,"William Monahan, Alan Mak, Felix Chong",2006,"English, Cantonese","United States, Hong Kong","Crime, Drama, Thriller"
No Country for Old Men,"Tommy Lee Jones, Javier Bardem, Josh Brolin","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy",2007,"English, Spanish",United States,"Crime, Drama, Thriller"
There Will Be Blood,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",Paul Thomas Anderson,"Paul Thomas Anderson, Upton Sinclair",2007,"English, American Sign ",United States,Drama
The Social Network,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake",David Fincher,"Aaron Sorkin, Ben Mezrich",2010,"English, French",United States,"Biography, Drama"
Inglourious Basterds,"Brad Pitt, Diane Kruger, Eli Roth",Quentin Tarantino,Quentin Tarantino,2009,"English, German, French, Italian","Germany, United States","Adventure, Drama, War"
The Dark Knight Rises,"Christian Bale, Tom Hardy, Anne Hathaway",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",2012,"English, Arabic","United States, United Kingdom","Action, Drama, Thriller"
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson",Joss Whedon,"Joss Whedon, Zak Penn",2012,"English, Russian, Hindi",United States,"Action, Sci-Fi"
Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum",2008,"English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada","Action, Adventure, Sci-Fi"
The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",Jonathan Demme,"Thomas Harris, Ted Tally",1991,"English, Latin",United States,"Crime, Drama, Thriller"
The Green Mile,"Tom Hanks, Michael Clarke Duncan, David Morse",Frank Darabont,"Stephen King, Frank Darabont",1999,"English, French",United States,"Crime, Drama, Fantasy"
The Godfather Part II,"Al Pacino, Robert De Niro, Robert Duvall",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",1974,"English, Italian, Spanish, Latin, Sicilian",United States,"Crime, Drama"
The Prestige,"Christian Bale, Hugh Jackman, Scarlett Johansson",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest",2006,English,"United Kingdom, United States","Drama, Mystery, Sci-Fi"
American History X,"Edward Norton, Edward Furlong, Beverly D'Angelo",Tony Kaye,David McKenna,1998,English,United States,"Crime, Drama"
